TIME,Croatia,Cyprus,Denmark,Finland,France,Hungary,Norway,Poland,Portugal,Switzerland
2000-01,49.3,69.1,87.2,59,62,50.8,60.1,48.5,90.6,72.7
2000-02,53.6,63.8,81,56.9,57.5,55.5,56.2,50.1,90.5,70
2000-03,60.7,69.6,88.5,64.7,64.1,63.7,62.3,56.6,101.5,73.9
2000-04,61.3,73.2,92.2,66,66.3,66.8,61,56.7,93.1,75.8
2000-05,65,83.3,99.3,71.9,66.4,69.9,66.7,58,97.4,79.6
2000-06,66.4,80.5,89.5,73.7,64.5,69.6,70,58.3,99.8,71.4
2000-07,69.9,90.4,94.4,75.3,62.1,77.5,67.6,61.1,106.7,74.6
2000-08,69.6,84,95.2,72.7,72.4,77.4,70.1,62.1,105.8,71.4
2000-09,67.3,82.1,88.5,70,67,75.3,65.1,61.9,104.6,76.2
2000-10,67.8,79.8,90.9,70.4,72.6,78.1,66.6,63.5,105,79.9
2000-11,65.5,76.1,91.6,70,70.7,77,66.5,58.7,105.4,84.7
2000-12,75.7,101.3,114.7,90.5,89,96.2,87.8,69.8,140.4,98
2001-01,55.9,74.8,88.1,63.1,67.1,54.3,60.8,51.9,91.8,75.4
2001-02,56.9,71,80.5,60.8,61.2,58.6,56.6,50.8,90.3,72.1
2001-03,68.5,72.2,90,69.4,68.6,66.9,64.2,58.7,102.2,76.5
2001-04,69.7,79.3,91.1,70.4,71.5,69.3,61.2,57.5,98.8,75.9
2001-05,71.9,89.5,97.4,74.6,70.4,71,66.3,56.4,100.6,80.8
2001-06,74.9,86.7,92,78,70.6,71.6,71.3,58.8,103.5,74.6
2001-07,80.7,99,93.5,79.4,66.1,80.1,68.8,61.9,107.7,75.9
2001-08,81.2,92,94.8,76.9,77.1,80.9,70.8,64.4,107.4,73.5
2001-09,76.8,89.2,88.6,72.4,71.1,78.6,65.7,63.8,106.1,78.6
2001-10,77.7,85.5,91.2,74.7,74.3,81.4,68.6,64,108.2,79.5
2001-11,72.9,84.4,92.8,74.3,72,79.3,70.2,59.8,108.8,86.1
2001-12,83.8,111.9,114.7,95.9,95.5,97.9,89.8,73.3,143.6,99.3
2002-01,61.3,76,89.3,63,67.7,60.2,64.1,52.8,93.8,77
2002-02,63.9,71.9,81.6,63.2,63.3,63.4,59.7,52.2,91.1,73.1
2002-03,75.5,77.2,93.3,71.4,70.8,75.6,67.1,60.9,106.3,78.2
2002-04,75.3,81.8,94.3,74.2,72.1,75.5,65.8,57.9,99.5,76
2002-05,79,93.6,100,78.9,72.9,79.4,71.9,58.8,103,80.3
2002-06,81.5,89.5,93.8,81.4,71.7,79.8,74,58.3,98.4,72.5
2002-07,92.1,101.5,97.2,81.6,68.2,84.4,71.9,62.5,108.6,76.3
2002-08,91.1,93.7,98.4,80.1,80.3,87.3,74.1,63,109.5,73.3
